path,len
AJ_Cook/0,79
AJ_Cook/2,194
Aaron_Sorkin/0,70
Aaron_Sorkin/3,174
Aaron_Tippin/0,119
Aaron_Tippin/1,83
Abdel_Aziz_Al-Hakim/0,103
Abdel_Aziz_Al-Hakim/1,285
Abdel_Aziz_Al-Hakim/4,141
Abdul_Majeed_Shobokshi/1,624
Abdulaziz_Kamilov/4,195
Abdullatif_Sener/0,281
Abdullatif_Sener/1,60
Abel_Pacheco/1,104
Abel_Pacheco/3,52
Abel_Pacheco/4,179
Abid_Hamid_Mahmud_Al-Tikriti/0,92
Abraham_Foxman/5,63
Adam_Ant/0,58
Adam_Ant/2,58
Adam_Sandler/0,48
Adam_Sandler/1,62
Adam_Sandler/4,53
Adam_Scott/1,238
Adel_Al-Jubeir/2,469
Adisai_Bodharamik/0,282
Adoor_Gopalakarishnan/1,695
Adrian_Annus/4,120
Adrian_Nastase/1,59
Adrian_Nastase/2,58
Adrian_Nastase/4,71
Adrian_Nastase/5,55
Adriana_Lima/0,53
Adriana_Perez_Navarro/1,64
Adrianna_Zuzic/0,173
Adrianna_Zuzic/2,70
Adrien_Brody/4,53
Agbani_Darego/0,184
Agbani_Darego/2,71
Agbani_Darego/4,70
Agbani_Darego/5,52
Agnes_Bruckner/0,89
Agnes_Bruckner/1,51
Agnes_Bruckner/2,80
Agnes_Bruckner/4,59
Ahmed_Ahmed/0,197
Ahmed_Ahmed/1,73
Ahmed_Ahmed/4,95
Ahmed_Ahmed/5,233
Ahmed_Chalabi/2,260
Ahmed_Qureia/1,83
Ahmet_Necdet_Sezer/4,60
Aishwarya_Rai/0,76
Aishwarya_Rai/1,74
Aishwarya_Rai/4,63
Aishwarya_Rai/5,70
Akbar_Al_Baker/2,52
Akbar_Al_Baker/5,54
Akbar_Hashemi_Rafsanjani/0,56
Akmal_Taher/2,138
Akmal_Taher/4,110
Al_Davis/0,532
Al_Davis/5,422
Al_Gore/1,80
Al_Gore/2,48
Al_Gore/4,67
Al_Gore/5,56
Al_Leiter/0,72
Al_Leiter/4,72
Al_Pacino/2,49
Al_Pacino/3,60
Al_Pacino/4,105
Al_Sharpton/3,743
Alain_Ducasse/3,179
Alan_Dershowitz/1,119
Alan_Dershowitz/2,57
Alanis_Morissette/1,198
Alanis_Morissette/2,87
Alanna_Ubach/0,52
Alastair_Campbell/0,78
Alastair_Campbell/2,101
Alastair_Campbell/3,69
Albert_Brooks/0,217
Albert_Brooks/1,73
Albert_Brooks/3,75
Alberto_Fujimori/0,117
Alberto_Gonzales/2,84
